year_month,trades,expectancy_R,total_R,wins,losses,be,winrate_WL
2025-10,91,0.15494505494505492,14.099999999999998,59,32,0,0.6483516483516484
2025-11,97,0.09999999999999998,9.699999999999998,61,36,0,0.6288659793814433
2025-12,51,-0.36666666666666664,-18.7,19,32,0,0.37254901960784315
