reason,candles,allowed,avg_score,allowed_rate_%
NO_DEVIATION,30970,0,0.0,0.0
NO_SWEEP,25064,0,0.0,0.0
OK,3468,3468,0.7000000000000001,100.0
NO_RANGE,498,0,0.0,0.0
