total,win,loss,no_hit,winrate,expectancy,total_R,maxDD_R,symbol
74,33,41,0,44.5945945945946,0.33783783783783783,25.0,-6.0,XRPUSDT
55,27,28,1,49.09090909090909,0.4370854868812506,24.039701778468782,-12.0,ETHUSDT
71,25,46,0,35.2112676056338,0.056338028169014086,4.0,-19.0,BTCUSDT
