year_month,side,trades,expectancy_R,total_R,wins,losses,winrate_WL
2025-10,LONG,28,-0.3071428571428571,-8.6,10,18,0.35714285714285715
2025-10,SHORT,63,0.3603174603174603,22.7,49,14,0.7777777777777778
2025-11,LONG,1,-1.0,-1.0,0,1,0.0
2025-11,SHORT,96,0.11145833333333331,10.699999999999998,61,35,0.6354166666666666
2025-12,LONG,27,-0.37037037037037035,-10.0,10,17,0.37037037037037035
2025-12,SHORT,24,-0.36250000000000004,-8.700000000000001,9,15,0.375
