cycle_ts,latest_ts,source,interval_min,symbols,once,new_candle,note,raw_entries,kept_after_invalidation,dropped_invalidation,kept_after_live_guard,dropped_live_guard,kept_after_window,after_context,after_regime,after_emit_last_candles,written_entries,written_closed,written_dropped
2026-03-21 15:28:29,2026-03-21 15:15:00+00:00,bybit,15,BTCUSDT,True,True,,8,3,0,,,,3,3,,1,,
2026-03-21 15:28:30,2026-03-21 15:15:00+00:00,bybit,15,ETHUSDT,True,True,,14,3,0,,,,3,3,,2,,
2026-03-21 15:28:31,2026-03-21 15:15:00+00:00,bybit,15,SOLUSDT,True,True,,12,3,0,,,,3,3,,3,,
2026-03-21 15:28:32,2026-03-21 15:15:00+00:00,bybit,15,XRPUSDT,True,True,,70,3,0,,,,3,3,,3,,
2026-03-21 15:28:33,2026-03-21 15:15:00+00:00,bybit,15,BNBUSDT,True,True,,7,3,0,,,,3,3,,3,,
