timestamp,symbol,model,side,R,pnl,equity
2025-12-29 03:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,200.0,10200.0
2025-12-29 04:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-102.0,10098.0
2025-12-29 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,201.96,10299.96
2025-12-29 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,205.99919999999997,10505.9592
2025-12-29 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,210.119184,10716.078383999999
2025-12-29 06:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,214.32156768,10930.399951679998
2026-01-02 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-109.30399951679998,10821.095952163198
2026-01-02 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,216.42191904326396,11037.51787120646
2026-01-02 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-110.37517871206461,10927.142692494395
2026-01-04 00:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-109.27142692494395,10817.87126556945
2026-01-04 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-108.17871265569451,10709.692552913757
2026-01-05 00:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,214.19385105827516,10923.886403972032
2026-01-05 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,218.47772807944065,11142.364132051473
2026-01-05 01:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-111.42364132051473,11030.940490730958
2026-01-05 02:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-110.30940490730958,10920.631085823648
2026-01-05 02:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,218.41262171647298,11139.04370754012
2026-01-05 03:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-111.39043707540121,11027.65327046472
2026-01-05 03:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-110.2765327046472,10917.376737760073
2026-01-05 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,218.34753475520145,11135.724272515274
2026-01-05 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-111.35724272515274,11024.36702979012
2026-01-05 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,220.4873405958024,11244.854370385923
2026-01-05 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-112.44854370385923,11132.405826682065
2026-01-05 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-111.32405826682066,11021.081768415244
2026-01-05 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,220.4216353683049,11241.503403783548
2026-01-05 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-112.41503403783548,11129.088369745714
2026-01-05 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,222.5817673949143,11351.670137140629
2026-01-05 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-113.51670137140628,11238.153435769222
2026-01-05 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-112.38153435769222,11125.77190141153
2026-01-05 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,222.51543802823062,11348.287339439761
2026-01-05 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,226.96574678879523,11575.253086228557
2026-01-12 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-115.75253086228557,11459.50055536627
2026-01-12 02:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-114.5950055536627,11344.905549812607
2026-01-12 02:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-113.44905549812607,11231.456494314481
2026-01-12 03:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,224.62912988628963,11456.08562420077
2026-01-12 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,229.1217124840154,11685.207336684785
2026-01-12 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,233.70414673369572,11918.91148341848
2026-01-12 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,238.3782296683696,12157.28971308685
2026-01-13 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,243.145794261737,12400.435507348586
2026-01-13 09:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-124.00435507348585,12276.4311522751
2026-01-13 10:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-122.764311522751,12153.666840752348
2026-01-13 11:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-121.53666840752349,12032.130172344825
2026-01-13 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-120.32130172344826,11911.808870621377
2026-01-13 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-119.11808870621377,11792.690781915162
2026-01-13 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,235.85381563830325,12028.544597553466
2026-01-13 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-120.28544597553466,11908.259151577931
2026-01-13 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-119.08259151577931,11789.176560062151
2026-01-13 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-117.89176560062151,11671.28479446153
2026-01-13 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-116.7128479446153,11554.571946516915
2026-01-13 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-115.54571946516916,11439.026227051745
2026-01-13 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-114.39026227051745,11324.635964781228
2026-01-13 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,226.49271929562457,11551.128684076852
2026-01-13 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,231.02257368153704,11782.151257758389
2026-01-13 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-117.82151257758389,11664.329745180805
2026-01-13 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-116.64329745180805,11547.686447728996
2026-01-13 21:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-115.47686447728996,11432.209583251706
2026-01-13 21:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-114.32209583251706,11317.88748741919
2026-01-13 22:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-113.1788748741919,11204.708612544999
2026-01-13 23:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-112.04708612545,11092.661526419548
2026-01-13 23:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-110.92661526419548,10981.734911155352
2026-01-14 00:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-109.81734911155353,10871.917562043798
