timestamp,symbol,model,side,R,pnl,equity
2025-12-29 03:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.0,10050.0
2025-12-29 04:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.125,10024.875
2025-12-29 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.124375,10074.999375
2025-12-29 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.374996875,10125.374371875
2025-12-29 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.626871859375,10176.001243734374
2025-12-29 06:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.88000621867187,10226.881249953045
2026-01-02 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.567203124882614,10201.314046828162
2026-01-02 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.00657023414081,10252.320617062303
2026-01-02 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.63080154265576,10226.689815519647
2026-01-04 00:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.566724538799118,10201.123090980847
2026-01-04 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.50280772745212,10175.620283253395
2026-01-05 00:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.87810141626697,10226.498384669661
2026-01-05 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.13249192334831,10277.63087659301
2026-01-05 01:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.694077191482524,10251.936799401527
2026-01-05 02:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.629841998503817,10226.306957403023
2026-01-05 02:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.13153478701512,10277.438492190038
2026-01-05 03:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.693596230475094,10251.744895959564
2026-01-05 03:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.62936223989891,10226.115533719665
2026-01-05 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.13057766859833,10277.246111388264
2026-01-05 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.69311527847066,10251.552996109793
2026-01-05 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.25776498054896,10302.810761090343
2026-01-05 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.75702690272586,10277.053734187617
2026-01-05 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.692634335469045,10251.361099852147
2026-01-05 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.256805499260736,10302.617905351408
2026-01-05 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.75654476337852,10276.86136058803
2026-01-05 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.384306802940145,10328.24566739097
2026-01-05 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.820614168477423,10302.425053222492
2026-01-05 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.75606263305623,10276.668990589436
2026-01-05 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.38334495294718,10328.052335542383
2026-01-05 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.64026167771192,10379.692597220095
2026-01-12 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.949231493050238,10353.743365727045
2026-01-12 02:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.884358414317614,10327.859007312727
2026-01-12 02:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.81964751828182,10302.039359794446
2026-01-12 03:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.51019679897223,10353.549556593418
2026-01-12 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.76774778296709,10405.317304376385
2026-01-12 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,52.02658652188193,10457.343890898268
2026-01-12 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,52.28671945449134,10509.630610352759
2026-01-13 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,52.54815305176379,10562.178763404523
2026-01-13 09:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.40544690851131,10535.773316496012
2026-01-13 10:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.33943329124003,10509.433883204772
2026-01-13 11:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.27358470801193,10483.160298496761
2026-01-13 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.207900746241904,10456.95239775052
2026-01-13 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.1423809943763,10430.810016756142
2026-01-13 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,52.15405008378071,10482.964066839922
2026-01-13 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.207410167099805,10456.756656672822
2026-01-13 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.141891641682054,10430.61476503114
2026-01-13 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.07653691257785,10404.538228118561
2026-01-13 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.011345570296402,10378.526882548265
2026-01-13 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.946317206370665,10352.580565341894
2026-01-13 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.881451413354736,10326.699113928538
2026-01-13 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.63349556964269,10378.33260949818
2026-01-13 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,51.8916630474909,10430.22427254567
2026-01-13 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.075560681364177,10404.148711864307
2026-01-13 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-26.01037177966077,10378.138340084646
2026-01-13 21:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.945345850211616,10352.192994234434
2026-01-13 21:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.880482485586086,10326.312511748847
2026-01-13 22:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.815781279372118,10300.496730469475
2026-01-13 23:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.751241826173686,10274.7454886433
2026-01-13 23:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.68686372160825,10249.058624921692
2026-01-14 00:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.62264656230423,10223.435978359388
2026-01-14 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.558589945898472,10197.87738841349
2026-01-14 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.494693471033724,10172.382694942457
2026-01-14 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.43095673735614,10146.9517382051
2026-01-14 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.36737934551275,10121.584358859587
2026-01-14 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.30396089714897,10096.280397962439
2026-01-14 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.48140198981219,10146.761799952252
2026-01-14 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.36690449988063,10121.394895452371
2026-01-14 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.30348723863093,10096.09140821374
2026-01-14 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.24022852053435,10070.851179693207
2026-01-14 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,2.0,50.354255898466036,10121.205435591673
2026-01-14 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,-1.0,-25.303013588979184,10095.902422002695
2025-12-29 03:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,50.479512110013474,10146.38193411271
2025-12-29 04:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,50.731909670563546,10197.113843783272
2025-12-29 04:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,50.98556921891636,10248.099413002188
2025-12-29 05:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.24049706501094,10299.3399100672
2025-12-29 05:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.496699550336,10350.836609617536
2025-12-29 06:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.75418304808768,10402.590792665624
2025-12-29 06:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,52.01295396332812,10454.603746628953
2026-01-02 14:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,52.27301873314477,10506.876765362098
2026-01-02 15:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.267191913405245,10480.609573448693
2026-01-02 16:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.201523933621733,10454.408049515072
2026-01-02 16:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.13602012378768,10428.272029391284
2026-01-02 17:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,52.14136014695642,10480.41338953824
2026-01-02 17:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.2010334738456,10454.212356064394
2026-01-02 18:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.135530890160986,10428.076825174234
2026-01-02 19:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.070192062935586,10402.006633111298
2026-01-02 19:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.005016582778243,10376.00161652852
2026-01-02 20:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.9400040413213,10350.061612487198
2026-01-04 00:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.75030806243599,10401.811920549633
2026-01-04 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-26.004529801374083,10375.80739074826
2026-01-04 01:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.93951847687065,10349.867872271388
2026-01-04 02:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.874669680678473,10323.99320259071
2026-01-04 02:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.809983006476774,10298.183219584233
2026-01-04 03:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.745458048960582,10272.437761535271
2026-01-04 03:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.68109440383818,10246.756667131433
2026-01-04 04:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.616891667828583,10221.139775463604
2026-01-05 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.55284943865901,10195.586926024944
2026-01-05 01:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,50.97793463012472,10246.564860655068
2026-01-05 20:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.232824303275336,10297.797684958343
2026-01-05 20:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.744494212395857,10272.053190745946
2026-01-05 21:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.680132976864865,10246.373057769082
2026-01-05 22:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.615932644422706,10220.757125124659
2026-01-05 22:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.551892812811648,10195.205232311848
2026-01-06 14:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,50.97602616155924,10246.181258473407
2026-01-06 14:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.23090629236704,10297.412164765774
2026-01-06 15:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.48706082382887,10348.899225589603
2026-01-12 02:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,-1.0,-25.87224806397401,10323.02697752563
2026-01-12 03:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.615134887628145,10374.642112413258
2026-01-12 04:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,51.87321056206629,10426.515322975323
2026-01-12 04:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,52.13257661487662,10478.6478995902
2026-01-12 05:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2.0,52.393239497951,10531.04113908815
