timestamp,regime,trend_dir,trend_strength,atr_pct
2025-02-09 04:00:00+00:00,RANGE,DOWN,0.0,
2025-02-09 08:00:00+00:00,RANGE,DOWN,0.0002905214787404172,
2025-02-09 12:00:00+00:00,RANGE,DOWN,0.0005806301826754352,
2025-02-09 16:00:00+00:00,RANGE,DOWN,0.00108561749012836,
2025-02-09 20:00:00+00:00,RANGE,DOWN,0.001272425855854897,
2025-02-10 00:00:00+00:00,RANGE,DOWN,0.0012347633661394665,
2025-02-10 04:00:00+00:00,RANGE,DOWN,0.0008247918658522698,
2025-02-10 08:00:00+00:00,RANGE,DOWN,0.0003423088373765823,
2025-02-10 12:00:00+00:00,RANGE,DOWN,0.00017712450892502806,
2025-02-10 16:00:00+00:00,RANGE,UP,5.462838269522548e-05,
2025-02-10 20:00:00+00:00,RANGE,UP,0.0002818160769385047,
2025-02-11 00:00:00+00:00,RANGE,UP,0.0005850697485779452,
2025-02-11 04:00:00+00:00,RANGE,UP,0.0012166768902250474,
2025-02-11 08:00:00+00:00,TREND_UP,UP,0.0016884741346805557,0.009800671902934677
2025-02-11 12:00:00+00:00,RANGE,UP,0.0014733163621727505,0.010743598959453452
2025-02-11 16:00:00+00:00,VOLATILE,UP,0.00011324410608711735,0.012052615929612424
2025-02-11 20:00:00+00:00,VOLATILE,DOWN,0.0006413895809688815,0.01240637311817466
2025-02-12 00:00:00+00:00,TREND_DOWN,DOWN,0.0015906016820995664,0.012803168004415175
2025-02-12 04:00:00+00:00,TREND_DOWN,DOWN,0.0019385660279296981,0.011823174123474986
2025-02-12 08:00:00+00:00,TREND_DOWN,DOWN,0.0022329969573860508,0.010829934267624608
2025-02-12 12:00:00+00:00,TREND_DOWN,DOWN,0.0026508330984722273,0.012007913833904362
2025-02-12 16:00:00+00:00,TREND_DOWN,DOWN,0.0021462745899822958,0.013302124502769144
2025-02-12 20:00:00+00:00,VOLATILE,DOWN,0.0013445797469866193,0.013031969926256956
2025-02-13 00:00:00+00:00,VOLATILE,DOWN,0.0008676965385689138,0.013032531566288589
2025-02-13 04:00:00+00:00,VOLATILE,DOWN,0.001292168017600706,0.0142281387941282
2025-02-13 08:00:00+00:00,TREND_DOWN,DOWN,0.0017250030526546208,0.014416593418053422
2025-02-13 12:00:00+00:00,TREND_DOWN,DOWN,0.00206224377341081,0.014584379360929996
2025-02-13 16:00:00+00:00,TREND_DOWN,DOWN,0.002560319716985645,0.015174769087397755
2025-02-13 20:00:00+00:00,TREND_DOWN,DOWN,0.0023806908135103155,0.014802256644243903
2025-02-14 00:00:00+00:00,TREND_DOWN,DOWN,0.0019152009680898873,0.01373140344502421
2025-02-14 04:00:00+00:00,TREND_DOWN,DOWN,0.001634337163117078,0.013115117078884686
2025-02-14 08:00:00+00:00,VOLATILE,DOWN,0.0014185029990120043,0.012555403961574079
2025-02-14 12:00:00+00:00,VOLATILE,DOWN,0.001199594354066627,0.012888819162255117
2025-02-14 16:00:00+00:00,VOLATILE,DOWN,0.00040841393675626495,0.014081126571832418
2025-02-14 20:00:00+00:00,VOLATILE,UP,6.152819219578061e-06,0.013433102098993647
2025-02-15 00:00:00+00:00,VOLATILE,UP,0.00046823344499098755,0.012049679006911515
2025-02-15 04:00:00+00:00,RANGE,UP,0.0006855972889822396,0.011472865827025723
2025-02-15 08:00:00+00:00,RANGE,UP,0.001027817877115727,0.011234041195119893
2025-02-15 12:00:00+00:00,RANGE,UP,0.0013330834269349656,0.010348288504996566
2025-02-15 16:00:00+00:00,TREND_UP,UP,0.0015308172367856862,0.00992910981647917
2025-02-15 20:00:00+00:00,TREND_UP,UP,0.0017218837484397165,0.009309583642200291
2025-02-16 00:00:00+00:00,TREND_UP,UP,0.0018581953474146016,0.008718120951903245
2025-02-16 04:00:00+00:00,TREND_UP,UP,0.0018079276450663534,0.008156890963531633
2025-02-16 08:00:00+00:00,TREND_UP,UP,0.0018013607453396553,0.007772782310701587
2025-02-16 12:00:00+00:00,TREND_UP,UP,0.0015450167516375245,0.007769665257370468
2025-02-16 16:00:00+00:00,RANGE,UP,0.0014059852852125706,0.007907231165993385
2025-02-16 20:00:00+00:00,RANGE,UP,0.000734392510288754,0.00789513172333926
2025-02-17 00:00:00+00:00,RANGE,UP,0.0001968100748642554,0.006561165896020206
2025-02-17 04:00:00+00:00,RANGE,DOWN,0.0003540173661668262,0.005882742378686039
2025-02-17 08:00:00+00:00,RANGE,DOWN,0.0008336674877503818,0.005668324955596947
2025-02-17 12:00:00+00:00,RANGE,DOWN,0.0014908571102339575,0.006461804183360237
2025-02-17 16:00:00+00:00,TREND_DOWN,DOWN,0.0021224532547890027,0.006692289177857259
2025-02-17 20:00:00+00:00,TREND_DOWN,DOWN,0.002518030991197191,0.006968864947138308
2025-02-18 00:00:00+00:00,TREND_DOWN,DOWN,0.0026024612153838916,0.007209961624230055
2025-02-18 04:00:00+00:00,TREND_DOWN,DOWN,0.0031312289261118246,0.007795820358641262
2025-02-18 08:00:00+00:00,TREND_DOWN,DOWN,0.003446747429279073,0.008130556960300118
2025-02-18 12:00:00+00:00,TREND_DOWN,DOWN,0.0037611134142054433,0.008975860521274416
2025-02-18 16:00:00+00:00,TREND_DOWN,DOWN,0.004944790299611646,0.01060661055611409
2025-02-18 20:00:00+00:00,TREND_DOWN,DOWN,0.004899133480745092,0.011416986737216639
2025-02-19 00:00:00+00:00,TREND_DOWN,DOWN,0.004873249427008618,0.011630453933282154
2025-02-19 04:00:00+00:00,TREND_DOWN,DOWN,0.004846634571758634,0.011297974970878992
2025-02-19 08:00:00+00:00,TREND_DOWN,DOWN,0.00433272488446843,0.011410149701721228
2025-02-19 12:00:00+00:00,TREND_DOWN,DOWN,0.0042171015999214806,0.011825913543665793
2025-02-19 16:00:00+00:00,TREND_DOWN,DOWN,0.003915949094543743,0.012255633781266866
2025-02-19 20:00:00+00:00,TREND_DOWN,DOWN,0.0033730392709867088,0.011762126157818796
2025-02-20 00:00:00+00:00,TREND_DOWN,DOWN,0.002654729482550987,0.011931987919158516
2025-02-20 04:00:00+00:00,TREND_DOWN,DOWN,0.002146005312226999,0.011705792929169973
2025-02-20 08:00:00+00:00,RANGE,DOWN,0.0014979849122211764,0.011509492135012499
2025-02-20 12:00:00+00:00,RANGE,DOWN,0.0011134418493540371,0.0116812457321021
2025-02-20 16:00:00+00:00,VOLATILE,UP,9.953803639936372e-05,0.012095746483819104
2025-02-20 20:00:00+00:00,RANGE,UP,0.001070598775855106,0.011491989043906815
2025-02-21 00:00:00+00:00,TREND_UP,UP,0.0018371547416482948,0.010143936796232345
2025-02-21 04:00:00+00:00,TREND_UP,UP,0.0025070548821950187,0.00906434480932442
2025-02-21 08:00:00+00:00,TREND_UP,UP,0.003322778484067874,0.008973066527209453
2025-02-21 12:00:00+00:00,TREND_UP,UP,0.003758275638436366,0.010144516517713307
2025-02-21 16:00:00+00:00,TREND_UP,UP,0.002573738359373621,0.012423217659938219
2025-02-21 20:00:00+00:00,TREND_UP,UP,0.0019703580648784014,0.012476967243886455
2025-02-22 00:00:00+00:00,TREND_UP,UP,0.0015235408579204151,0.012157096874675533
2025-02-22 04:00:00+00:00,RANGE,UP,0.001143448795662263,0.01176663462934459
2025-02-22 08:00:00+00:00,RANGE,UP,0.0009597347354100318,0.01131842637328963
2025-02-22 12:00:00+00:00,RANGE,UP,0.000809738072482243,0.0112942271715607
2025-02-22 16:00:00+00:00,RANGE,UP,0.0006803795167407111,0.011243974923854866
2025-02-22 20:00:00+00:00,RANGE,UP,0.00052776100944392,0.010508287851940766
2025-02-23 00:00:00+00:00,RANGE,UP,0.00031558181575196034,0.00950107186527375
2025-02-23 04:00:00+00:00,RANGE,UP,0.0001752544665519737,0.009266247224278322
2025-02-23 08:00:00+00:00,RANGE,DOWN,0.0001681358741745338,0.009353958238431395
2025-02-23 12:00:00+00:00,RANGE,DOWN,0.0008657504336019955,0.009658779742104278
2025-02-23 16:00:00+00:00,RANGE,DOWN,0.0012729930292119508,0.009467245906745227
2025-02-23 20:00:00+00:00,RANGE,DOWN,0.0013302822129122773,0.00826823115697509
2025-02-24 00:00:00+00:00,TREND_DOWN,DOWN,0.0018715237430847052,0.006662962775595417
2025-02-24 04:00:00+00:00,TREND_DOWN,DOWN,0.0020734519442521878,0.006234680986741561
2025-02-24 08:00:00+00:00,TREND_DOWN,DOWN,0.00226224240166473,0.006351849723571141
2025-02-24 12:00:00+00:00,TREND_DOWN,DOWN,0.003321717824189045,0.007914853771568598
2025-02-24 16:00:00+00:00,TREND_DOWN,DOWN,0.00445098146080271,0.008829685862911458
2025-02-24 20:00:00+00:00,TREND_DOWN,DOWN,0.007087180052573877,0.01125443782546791
2025-02-25 00:00:00+00:00,TREND_DOWN,DOWN,0.008785929838572579,0.01211040229742473
2025-02-25 04:00:00+00:00,TREND_DOWN,DOWN,0.012428319782019621,0.015681824549606368
2025-02-25 08:00:00+00:00,TREND_DOWN,DOWN,0.015305889413543576,0.017940163960675076
2025-02-25 12:00:00+00:00,TREND_DOWN,DOWN,0.01941482155711675,0.020837307267924553
2025-02-25 16:00:00+00:00,TREND_DOWN,DOWN,0.021979523003671952,0.021825872783984193
2025-02-25 20:00:00+00:00,TREND_DOWN,DOWN,0.0236238996754337,0.022503810880436237
2025-02-26 00:00:00+00:00,TREND_DOWN,DOWN,0.024918998201789423,0.02295119329425333
2025-02-26 04:00:00+00:00,TREND_DOWN,DOWN,0.02618715696028037,0.02307793793787021
2025-02-26 08:00:00+00:00,TREND_DOWN,DOWN,0.027229931381002073,0.023057121861379253
2025-02-26 12:00:00+00:00,TREND_DOWN,DOWN,0.02905708962833467,0.025335457526237167
2025-02-26 16:00:00+00:00,TREND_DOWN,DOWN,0.03408454703668977,0.02963406550247457
2025-02-26 20:00:00+00:00,TREND_DOWN,DOWN,0.03671545145438322,0.030335890362063425
2025-02-27 00:00:00+00:00,TREND_DOWN,DOWN,0.0379351251204449,0.029798982670515017
2025-02-27 04:00:00+00:00,TREND_DOWN,DOWN,0.038070325530897856,0.02835918083308477
2025-02-27 08:00:00+00:00,TREND_DOWN,DOWN,0.037973506072870075,0.027830374464042726
2025-02-27 12:00:00+00:00,TREND_DOWN,DOWN,0.03919850047143515,0.02648681395815226
2025-02-27 16:00:00+00:00,TREND_DOWN,DOWN,0.04126948890316156,0.02608202940603718
2025-02-27 20:00:00+00:00,TREND_DOWN,DOWN,0.04162893947906471,0.024859143525156776
2025-02-28 00:00:00+00:00,TREND_DOWN,DOWN,0.047274838421018,0.02934687374344637
2025-02-28 04:00:00+00:00,TREND_DOWN,DOWN,0.05171695952437554,0.030020061970360085
2025-02-28 08:00:00+00:00,TREND_DOWN,DOWN,0.05297989293536666,0.030729539606411758
2025-02-28 12:00:00+00:00,TREND_DOWN,DOWN,0.04999848658936681,0.032374824220956805
2025-02-28 16:00:00+00:00,TREND_DOWN,DOWN,0.048585343043185986,0.032834003094329656
2025-02-28 20:00:00+00:00,TREND_DOWN,DOWN,0.0475086753362842,0.031055580144274394
2025-03-01 00:00:00+00:00,TREND_DOWN,DOWN,0.045139871250468415,0.02847002618445389
2025-03-01 04:00:00+00:00,TREND_DOWN,DOWN,0.0441459407713593,0.027470639379821127
2025-03-01 08:00:00+00:00,TREND_DOWN,DOWN,0.042933176366988395,0.027277545056410453
2025-03-01 12:00:00+00:00,TREND_DOWN,DOWN,0.04149313904323183,0.026032817746929168
2025-03-01 16:00:00+00:00,TREND_DOWN,DOWN,0.039376748225238754,0.025576565169215464
2025-03-01 20:00:00+00:00,TREND_DOWN,DOWN,0.037045780182671066,0.024449790657401528
2025-03-02 00:00:00+00:00,TREND_DOWN,DOWN,0.03531910974056991,0.023490374678583125
2025-03-02 04:00:00+00:00,TREND_DOWN,DOWN,0.033215641479349786,0.022454750728215397
