timestamp,open,high,low,close,ctx_label,ctx_sub_label,sub_label,ctx_tts_dir,ctx_tdp_dir,htf_trend,impulse_atr,range_width_atr,dev_count,pos_in_range,atr,range_hi,range_lo,dev_up,dev_dn,regime,trend_dir,trend_strength,atr_pct,timestamp_htf
2025-02-09 07:45:00,97025.0,97077.9,96989.7,97013.9,NONE,,,,,FLAT,,,,,,,,False,False,RANGE,DOWN,0.0,0.0,2025-02-09 04:00:00
2025-02-09 11:45:00,96567.9,96629.9,96503.1,96513.4,NONE,,,,,DOWN,,,,,162.8714285714263,,,False,False,RANGE,DOWN,0.0002905214787404,0.0,2025-02-09 08:00:00
2025-02-09 15:45:00,96571.3,96571.3,96401.6,96447.5,NONE,,,,,DOWN,,,,,247.4142857142849,,,False,False,RANGE,DOWN,0.0005806301826754,0.0,2025-02-09 12:00:00
2025-02-09 19:45:00,95942.0,96018.2,95870.0,96016.6,NONE,,,,,DOWN,,,,,190.1500000000004,,,False,False,RANGE,DOWN,0.0010856174901283,0.0,2025-02-09 16:00:00
2025-02-09 23:45:00,96281.8,96548.0,96233.6,96428.6,NONE,,,,,DOWN,,,,,510.7571428571391,,,False,False,RANGE,DOWN,0.0012724258558548,0.0,2025-02-09 20:00:00
2025-02-10 03:45:00,96949.6,97029.5,96588.0,96764.3,NONE,,,,,DOWN,0.5448761928522234,5.673174078463179,0.0,0.8131060489456685,458.08571428571406,97250.0,94651.2,False,False,RANGE,DOWN,0.0012347633661394,0.0,2025-02-10 00:00:00
2025-02-10 07:45:00,97250.1,97464.8,97206.1,97405.1,NONE,,,,,DOWN,2.8612225252687837,9.563933900208637,1.0,0.9239414882909492,311.64999999999833,97631.8,94651.2,False,False,RANGE,DOWN,0.0008247918658522,0.0,2025-02-10 04:00:00
2025-02-10 11:45:00,97771.7,97844.6,97604.5,97629.9,NONE,,,,,DOWN,5.308363263211887,14.75288609543361,2.0,0.9064544596938595,222.74285714285674,97937.3,94651.2,False,False,RANGE,DOWN,0.0003423088373765,0.0,2025-02-10 08:00:00
2025-02-10 15:45:00,97042.5,97249.9,96904.0,97188.9,NONE,,,,,DOWN,2.727003854845124,8.588794363950575,3.0,0.6873137966524021,429.8857142857128,98343.4,94651.2,False,False,RANGE,DOWN,0.000177124508925,0.0,2025-02-10 12:00:00
2025-02-10 19:45:00,97363.1,97389.8,97199.9,97338.5,NONE,,,,,UP,3.2345428230454534,11.164309473630716,3.0,0.6800292937655235,281.30714285714305,98343.4,95202.8,False,False,RANGE,UP,5.462838269522548e-05,0.0,2025-02-10 16:00:00
2025-02-10 23:45:00,97272.2,97403.7,97256.0,97384.2,NONE,,,,,UP,3.6519946137013943,10.446389496717797,3.0,0.45905707196029855,169.74285714285568,98343.4,96570.2,False,False,RANGE,UP,0.0002818160769385,0.0,2025-02-10 20:00:00
2025-02-11 03:45:00,97496.9,97600.6,97467.7,97571.8,NONE,,,,,UP,0.6874226804123561,6.314639175257657,2.0,0.4961144125906112,242.50000000000105,98343.4,96812.1,False,False,RANGE,UP,0.0005850697485779,0.0,2025-02-11 00:00:00
2025-02-11 07:45:00,98389.0,98398.1,98222.9,98230.0,NONE,,,,,UP,2.8591750612578326,7.846651238769309,2.0,0.860950877406035,209.88571428571595,98459.0,96812.1,False,False,RANGE,UP,0.001216676890225,0.0,2025-02-11 04:00:00
2025-02-11 11:45:00,97991.2,98186.8,97991.1,98092.4,NONE,,,,,UP,5.313589582020551,9.601512287334568,1.0,0.7754502021315665,170.03571428571533,98459.0,96826.4,False,False,TREND_UP,UP,0.0016884741346805,0.0098006719029346,2025-02-11 08:00:00
2025-02-11 15:45:00,96820.9,97085.1,96820.8,96982.0,NONE,,,,,UP,1.0254355687048,5.487302761341217,2.0,0.22576925093043862,347.6571428571427,98459.0,96551.3,False,False,RANGE,UP,0.0014733163621727,0.0107435989594534,2025-02-11 12:00:00
2025-02-11 19:45:00,95010.2,95257.0,94873.5,94985.9,TDP,TDP_BOT,TDP_BOT,,LONG,UP,7.500714860155453,11.375078187829466,6.0,0.04509086909900738,319.7428571428588,98459.0,94821.9,False,False,VOLATILE,UP,0.0001132441060871,0.0120526159296124,2025-02-11 16:00:00
2025-02-11 23:45:00,95700.1,95817.5,95680.1,95748.6,NONE,,,,,DOWN,4.983755076538582,9.942088409871948,6.0,0.25479090484177236,365.8285714285708,98459.0,94821.9,False,False,VOLATILE,DOWN,0.0006413895809688,0.0124063731181746,2025-02-11 20:00:00
2025-02-12 03:45:00,95555.5,95567.0,95238.2,95256.0,TDP,TDP_BOT,TDP_BOT,,LONG,DOWN,10.116629410049626,11.826999708426552,5.0,0.12485618959963342,293.9714285714269,98398.1,94821.9,False,False,TREND_DOWN,DOWN,0.0015906016820995,0.0128031680044151,2025-02-12 00:00:00
2025-02-12 07:45:00,96028.9,96040.3,95908.4,96025.7,NONE,,,,,DOWN,11.382745190605398,18.070183720838727,5.0,0.36691151818098683,181.56428571428634,98186.8,94821.9,False,False,TREND_DOWN,DOWN,0.0019385660279296,0.0118231741234749,2025-02-12 04:00:00
2025-02-12 11:45:00,96253.2,96344.0,96000.0,96045.3,NONE,,,,,DOWN,5.234631965511695,12.22401405077438,4.0,0.5592941391606491,178.94285714285797,97085.1,94821.9,False,False,TREND_DOWN,DOWN,0.002232996957386,0.0108299342676246,2025-02-12 08:00:00
2025-02-12 15:45:00,95615.7,95799.9,95419.4,95767.2,NONE,,,,,DOWN,1.06527074405922,3.543358005453851,2.0,0.67954440511005,733.4285714285694,96600.0,94001.2,False,False,TREND_DOWN,DOWN,0.0026508330984722,0.0120079138339043,2025-02-12 12:00:00
