month,trades,winrate_WL_%,expectancy_R,sum_R,median_R,expectancy_R_sqrtN
2025-02,78,23.404255319148938,-3.416070845000482e-17,-2.6645352591003757e-15,0.7,-3.016992080547876e-16
2025-03,117,31.343283582089555,0.13931623931623935,16.300000000000004,0.7,1.5069355330785397
2025-04,122,22.666666666666664,-0.0245901639344262,-2.9999999999999964,0.7,-0.2716072381275553
2025-05,115,20.588235294117645,-0.02521739130434782,-2.8999999999999995,0.7,-0.2704263943896909
2025-06,141,26.436781609195403,0.026241134751773046,3.6999999999999993,0.7,0.31159621079461197
2025-07,96,20.408163265306122,0.071875,6.8999999999999995,0.7,0.7042283010501635
2025-08,67,31.25,-0.0029850746268656808,-0.20000000000000062,0.7,-0.02443388887126112
2025-09,106,25.581395348837212,0.2358490566037736,25.0,0.7,2.4282146558931608
2025-10,104,22.22222222222222,-0.020192307692307673,-2.099999999999998,0.7,-0.20592194189509302
2025-11,117,11.11111111111111,-0.1888888888888889,-22.1,-1.0,-2.0431457227629277
2025-12,79,29.82456140350877,-0.03164556962025317,-2.5,-1.0,-0.281271975231506
