id,timestamp,side,entry,sl,tp,rr,model,outcome,exit_price,exit_timestamp,R,range_width_atr,pos_in_range,confirm_bars,edge_dist_atr,breakout_depth_atr,base_timestamp,base_type
1,2025-02-18 20:00:00,LONG,95618.8,93068.66964285714,100719.06071428572,2.0,WYCKOFF,LOSS,93068.66964285714,2025-02-24 22:00:00,-1.0,4.830807339580908,0.013444541267273097,1,1.6212942347205486,0.6846600468209623,2025-02-18 16:00:00,SPRING
2,2025-02-21 16:00:00,SHORT,95260.0,99702.93035714286,86374.13928571428,2.0,WYCKOFF,WIN,86374.13928571428,2025-02-25 15:15:00,2.0,5.618232595538766,0.8509759021056585,1,3.6664201767548055,0.549189096052087,2025-02-21 12:00:00,UPTHRUST
3,2025-02-27 04:00:00,LONG,86220.0,81416.96428571429,95826.07142857142,2.0,WYCKOFF,LOSS,81416.96428571429,2025-02-28 01:30:00,-1.0,6.3628605621358085,0.06205165434164745,2,1.1822076077352406,0.4479862206265571,2025-02-26 20:00:00,SPRING
4,2025-03-11 04:00:00,LONG,80391.6,76020.80357142857,89133.19285714289,2.0,WYCKOFF,LOSS,76020.80357142857,2025-04-07 06:15:00,-1.0,7.334321239993187,0.13548135383815066,1,1.4252767841934935,0.40924544370635607,2025-03-11 00:00:00,SPRING
5,2025-03-20 08:00:00,SHORT,85450.2,87710.81785714286,80928.96428571428,2.0,WYCKOFF,LOSS,87710.81785714286,2025-03-24 10:30:00,-1.0,5.696262165485067,0.8425021180457506,2,1.2224201128359535,0.34586172425283523,2025-03-20 00:00:00,UPTHRUST
6,2025-03-30 00:00:00,LONG,83042.1,81336.4232142857,86453.4535714286,2.0,WYCKOFF,LOSS,81336.4232142857,2025-03-31 00:30:00,-1.0,6.362374101201536,0.11352610702331192,2,1.0167865064633126,0.3334249164025366,2025-03-29 16:00:00,SPRING
7,2025-05-03 00:00:00,SHORT,96292.9,98132.59285714285,92613.51428571428,2.0,WYCKOFF,LOSS,98132.59285714285,2025-05-08 01:00:00,-1.0,4.377574710471611,0.9740994150784572,3,1.0300731582215354,0.45815673676537444,2025-05-02 12:00:00,UPTHRUST
8,2025-05-31 12:00:00,LONG,104512.9,102678.5767857143,108181.5464285714,2.0,WYCKOFF,LOSS,102678.5767857143,2025-06-05 18:00:00,-1.0,4.976645646918073,0.010377226195484505,3,0.6587373196081812,0.37141646519278976,2025-05-31 00:00:00,SPRING
9,2025-06-13 20:00:00,LONG,106023.1,102327.42857142857,113414.44285714289,2.0,WYCKOFF,LOSS,102327.42857142857,2025-06-20 17:30:00,-1.0,6.31187091542242,0.15224378050232173,5,2.440299575442457,0.3948623765682394,2025-06-13 00:00:00,SPRING
10,2025-06-23 00:00:00,LONG,101115.4,97768.30535714286,107809.58928571426,2.0,WYCKOFF,WIN,107809.58928571426,2025-06-25 13:15:00,2.0,7.2607622566320815,0.2228196341522277,1,1.7657960740729595,0.33011429343826537,2025-06-22 20:00:00,SPRING
11,2025-07-03 12:00:00,SHORT,109063.1,110509.17499999999,106170.95000000004,2.0,WYCKOFF,LOSS,110509.17499999999,2025-07-09 19:30:00,-1.0,4.630897042824642,0.9594643658031333,1,0.6703590149342195,0.5098407674809621,2025-07-03 08:00:00,UPTHRUST
12,2025-07-25 08:00:00,LONG,116544.9,114377.04464285714,120880.61071428569,2.0,WYCKOFF,LOSS,114377.04464285714,2025-08-01 00:45:00,-1.0,3.7717518972406205,0.006330499870603566,1,0.9364618808827838,0.4412753747553004,2025-07-25 04:00:00,SPRING
13,2025-08-09 16:00:00,SHORT,116496.9,118138.7125,113213.275,2.0,WYCKOFF,LOSS,118138.7125,2025-08-10 03:15:00,-1.0,5.968581452584178,0.9103542664631243,2,1.1228988846415782,0.34654657799653765,2025-08-09 08:00:00,UPTHRUST
14,2025-08-14 04:00:00,SHORT,121772.0,124882.25892857142,115551.48214285716,2.0,WYCKOFF,WIN,115551.48214285716,2025-08-18 02:45:00,2.0,7.232873881269627,0.9619974664977665,1,1.5834620220100681,0.6662724678948069,2025-08-14 00:00:00,UPTHRUST
15,2025-08-26 04:00:00,LONG,110259.1,108295.2017857143,114186.89642857143,2.0,WYCKOFF,LOSS,108295.2017857143,2025-08-29 14:15:00,-1.0,5.45207259455302,0.07647296949177426,1,0.6932216102079527,0.3702532401458048,2025-08-26 00:00:00,SPRING
16,2025-08-30 08:00:00,LONG,108652.3,107098.73035714286,111759.43928571428,2.0,WYCKOFF,WIN,111759.43928571428,2025-09-03 00:15:00,2.0,6.074227002626142,0.057606015779093064,3,0.5723042034155791,0.34100135317996916,2025-08-29 20:00:00,SPRING
17,2025-09-12 08:00:00,SHORT,114885.7,116483.73749999999,111689.62500000001,2.0,WYCKOFF,LOSS,116483.73749999999,2025-09-12 19:45:00,-1.0,5.9422676003635155,0.9446933304546502,2,0.5991340140054627,0.8593574597744049,2025-09-12 00:00:00,UPTHRUST
18,2025-09-24 08:00:00,LONG,112977.4,110596.99464285714,117738.2107142857,2.0,WYCKOFF,LOSS,110596.99464285714,2025-09-25 13:30:00,-1.0,5.316720434795235,0.18166929423109426,1,1.323788763914314,0.3633562937774281,2025-09-24 04:00:00,SPRING
19,2025-09-30 04:00:00,SHORT,113661.6,115025.1125,110934.57500000001,2.0,WYCKOFF,LOSS,115025.1125,2025-10-01 08:15:00,-1.0,7.3053344198583465,0.9886907724253902,1,0.8970099667774093,0.5624020560396058,2025-09-30 00:00:00,UPTHRUST
20,2025-11-05 00:00:00,LONG,102093.6,98385.58571428571,109509.62857142859,2.0,WYCKOFF,LOSS,98385.58571428571,2025-11-13 18:30:00,-1.0,6.814681885376389,0.11255739930938238,1,1.0912625085285421,0.5034682738230611,2025-11-04 20:00:00,SPRING
