RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,658,21.348315,0.045897,1.177319
3.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,842,17.303371,0.039311,1.140701
3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,613,17.1875,0.04584,1.134948
3.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,868,15.384615,0.038018,1.120093
2.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,632,20.882353,0.043829,1.101847
2.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,613,23.410405,0.044372,1.098598
3.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,868,17.353579,0.036751,1.082757
3.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,789,17.067308,0.037643,1.057348
3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,670,15.044248,0.037761,0.977424
3.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,655,14.848485,0.038015,0.972924
2.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,936,22.744361,0.03109,0.951163
2.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,958,22.752294,0.030585,0.94664
3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,665,14.880952,0.036541,0.942314
2.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,655,20.396601,0.036641,0.937758
2.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,953,22.693727,0.03001,0.926445
2.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,670,20.441989,0.035522,0.919474
2.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,665,20.334262,0.034737,0.89578
2.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,940,22.761194,0.029149,0.893689
2.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,958,24.868651,0.027662,0.856176
2.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,928,22.537879,0.027694,0.843644
3.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,958,15.8,0.02714,0.840022
3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,649,17.528736,0.03282,0.836098
2.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,953,24.823944,0.027072,0.835744
3.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,936,15.605749,0.026603,0.813882
3.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,953,15.694165,0.026233,0.809829
3.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,928,16.016427,0.026401,0.804252
3.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,940,15.853659,0.025957,0.79584
2.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,906,22.48062,0.026269,0.790702
3.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,906,16.142558,0.025938,0.780735
3.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,958,17.658349,0.025157,0.778636
2.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,936,24.821429,0.024466,0.74851
3.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,953,17.567568,0.024239,0.748282
3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,658,17.231638,0.026444,0.678323
3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,632,17.54386,0.026899,0.676224
3.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,936,17.612524,0.021902,0.670063
3.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,928,17.716535,0.021552,0.656532
2.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,928,24.275362,0.020905,0.636836
2.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,940,24.420677,0.020638,0.632758
2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,649,22.222222,0.024037,0.612354
3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,670,16.944444,0.023284,0.602681
3.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,940,17.509728,0.019362,0.593619
3.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,906,17.835671,0.019095,0.574754
3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,665,16.806723,0.021955,0.566164
3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,655,16.997167,0.021985,0.562655
2.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,906,24.354244,0.018102,0.544854
2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,658,22.281167,0.019605,0.502894
2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,670,22.135417,0.017463,0.45201
2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,632,22.099448,0.017405,0.437557
2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,665,22.047244,0.016541,0.426562
2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,655,22.074468,0.015573,0.398547
