wf_fold,RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
1,2.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,253,17.266187,-0.01581,-0.251478
1,3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,243,15.037594,-0.016461,-0.2566
1,2.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,251,16.788321,-0.017131,-0.271414
1,3.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,251,11.627907,-0.018327,-0.290349
1,2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,259,20.0,-0.018147,-0.292044
1,3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,259,14.285714,-0.018147,-0.292044
1,3.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,253,11.538462,-0.019368,-0.30806
1,2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,455,23.571429,-0.015604,-0.332853
1,3.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,340,13.333333,-0.018529,-0.341665
1,2.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,259,17.361111,-0.023166,-0.372822
1,2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,258,19.463087,-0.023256,-0.373544
1,3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,258,13.669065,-0.024419,-0.392221
1,2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,243,18.705036,-0.026337,-0.41056
1,2.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,258,16.783217,-0.028295,-0.454478
1,2.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,243,15.789474,-0.031687,-0.493955
1,3.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,243,11.111111,-0.031687,-0.493955
1,2.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,371,22.807018,-0.026146,-0.503599
1,3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,259,10.526316,-0.032432,-0.521951
1,3.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,455,15.41502,-0.025495,-0.543816
1,3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,254,13.669065,-0.035827,-0.570985
1,2.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,370,22.46696,-0.02973,-0.571863
1,2.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,362,22.171946,-0.030387,-0.578147
1,2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,254,18.918919,-0.037008,-0.589808
1,3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,258,9.848485,-0.03876,-0.622573
1,3.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,362,15.270936,-0.03453,-0.656985
1,2.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,359,21.559633,-0.035097,-0.665003
1,2.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,254,16.197183,-0.042126,-0.671378
1,3.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,371,14.975845,-0.03504,-0.674926
1,3.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,359,15.346535,-0.035933,-0.680836
1,3.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,370,14.563107,-0.039459,-0.759018
