wf_fold,RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
3,2.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,1253,23.680456,0.051955,1.8391
3,3.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,1272,16.743472,0.051101,1.82251
3,2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,641,21.791045,0.071295,1.805041
3,3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1096,15.441176,0.054197,1.794243
3,3.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1253,18.373494,0.050599,1.791075
3,3.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,1285,16.818182,0.049805,1.785371
3,3.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,1010,15.568862,0.056139,1.784113
3,2.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1225,26.074896,0.050694,1.774286
3,2.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1225,23.61516,0.050449,1.765714
3,2.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,842,23.043478,0.059145,1.716221
3,3.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,1253,16.40625,0.047885,1.695023
3,2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,656,21.511628,0.065854,1.686677
3,2.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,900,23.030303,0.054778,1.643333
3,3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,641,14.379085,0.064743,1.639151
3,3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1225,16.427432,0.046776,1.637143
3,3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,599,17.218543,0.066277,1.622098
3,3.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1225,18.251534,0.046041,1.611429
3,2.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,599,23.547401,0.065275,1.597583
3,2.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,842,25.206612,0.054394,1.578372
3,3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,656,14.285714,0.059909,1.534407
3,2.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,900,25.192308,0.051,1.53
3,2.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,928,22.807018,0.048707,1.483763
3,2.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,695,21.195652,0.055971,1.475561
3,3.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,695,15.204678,0.055971,1.475561
3,2.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,928,25.092937,0.047522,1.447653
3,3.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,842,14.903846,0.049881,1.447416
3,2.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,641,23.446328,0.056786,1.437714
3,2.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,704,21.333333,0.053835,1.42841
3,3.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,641,16.871166,0.056318,1.425864
3,3.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,678,15.223881,0.05354,1.394093
3,3.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,704,14.985591,0.052131,1.383183
3,2.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,678,20.891365,0.052212,1.359529
3,3.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,900,14.765101,0.044778,1.343333
3,2.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,1025,23.090278,0.041756,1.336847
3,2.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,1020,23.036649,0.041275,1.318202
3,2.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,1002,22.953737,0.041218,1.304717
3,3.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,842,16.589862,0.044418,1.288889
3,2.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,1025,25.207297,0.03961,1.268131
3,2.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,656,23.076923,0.049085,1.257199
3,3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,656,16.666667,0.049085,1.257199
3,3.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,900,16.702355,0.041667,1.25
3,2.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,1020,25.166667,0.039118,1.249317
3,2.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,717,20.680628,0.045746,1.224938
3,3.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,928,14.83871,0.039978,1.217867
3,3.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,928,16.907216,0.039763,1.211302
3,2.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,1005,22.831858,0.038109,1.208136
3,3.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,1025,15.939279,0.037659,1.205661
3,2.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,712,20.580475,0.045084,1.202998
3,3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,717,14.647887,0.044909,1.202531
3,2.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,701,20.430108,0.045221,1.197292
3,3.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,1020,15.839695,0.036863,1.177302
3,3.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,701,14.450867,0.044365,1.174631
3,3.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,1025,17.850638,0.036683,1.174427
3,3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,712,14.488636,0.04382,1.169269
3,3.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,1002,15.758755,0.036727,1.162556
3,2.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,1002,25.168919,0.036228,1.146761
3,3.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,1020,17.765568,0.035882,1.14599
3,2.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,991,22.342342,0.034309,1.080046
3,2.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,968,22.324723,0.034194,1.063874
3,3.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,1002,17.810761,0.033234,1.051987
3,3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,695,17.032967,0.039568,1.043134
3,3.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,1005,15.503876,0.032736,1.037798
3,2.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,1005,24.534687,0.030746,0.97471
3,3.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,968,15.461847,0.030785,0.957808
3,3.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,991,15.324165,0.030071,0.946628
3,2.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,991,24.137931,0.028557,0.898979
3,3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,678,17.039106,0.034218,0.890991
3,3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,704,16.756757,0.033523,0.889458
3,3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,717,16.710875,0.032636,0.873889
3,3.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,1005,17.254174,0.027463,0.870615
3,2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,695,21.963824,0.032662,0.86106
3,3.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,991,17.293233,0.027346,0.86086
3,3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,712,16.57754,0.031461,0.839475
3,3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,701,16.756757,0.03067,0.812044
3,2.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,968,24.077329,0.024793,0.771389
3,2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,704,22.025316,0.028409,0.753778
3,2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,717,22.084367,0.028033,0.750648
3,3.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,968,17.241379,0.023554,0.73282
3,2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,712,22.0,0.027247,0.727046
3,2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,678,21.842105,0.026696,0.695126
3,2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,701,22.025316,0.025535,0.676074
