RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
3.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1741,17.7215,0.024009,1.00179
2.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,22.4846,0.023843,0.985094
2.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,1267,21.7391,0.023599,0.840007
2.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,24.9756,0.022906,0.946368
3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,15.8305,0.021734,0.89796
3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,14.5631,0.021493,0.681351
3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,998,14.4814,0.020942,0.661578
3.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,1142,14.1136,0.020578,0.6954
2.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,904,22.5434,0.020133,0.605323
3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,821,15.5814,0.020097,0.575854
2.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,874,22.664,0.020023,0.591946
3.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,17.4006,0.018336,0.757578
2.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,1142,23.8166,0.016725,0.565198
3.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,1219,13.8486,0.016243,0.567105
2.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,1395,22.3881,0.015986,0.59706
3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,904,15.3684,0.015155,0.455655
2.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,1219,23.7898,0.015094,0.527006
3.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,1267,14.0216,0.014838,0.528165
2.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,1267,23.7017,0.014365,0.511309
3.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,874,15.2505,0.013844,0.409289
2.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,1426,22.3301,0.013464,0.508442
2.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,1419,22.3171,0.013249,0.499076
3.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,1395,15.4472,0.012115,0.45248
2.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,1404,22.0715,0.010256,0.384308
3.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,1426,15.4557,0.009888,0.373387
3.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,1419,15.405,0.009443,0.355724
2.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,1387,21.6521,0.006561,0.244345
3.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,1404,15.1678,0.006197,0.232186
2.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,1360,21.4834,0.005588,0.206084
2.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,1395,24.2925,0.005233,0.19545
2.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,1426,24.1618,0.004909,0.185369
2.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,1419,24.158,0.004651,0.175208
3.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,1142,15.1565,0.004641,0.156835
3.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,1267,15.3619,0.003946,0.140469
3.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,1387,14.9457,0.0031,0.11546
3.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,1219,15.1002,0.002789,0.097382
3.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,1360,14.8405,0.002279,0.084061
3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,980,16.1351,0.002143,0.067082
3.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,1395,16.8394,0.000502,0.018742
2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,980,21.9895,0.000306,0.009583
3.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,1426,16.7513,0.000281,0.010593
3.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,1419,16.7092,-0.000211,-0.007964
2.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,1404,23.7089,-0.001709,-0.064051
3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,984,16.0149,-0.001931,-0.06057
2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,984,22.1071,-0.002541,-0.079697
3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,990,15.9259,-0.002828,-0.08899
3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,15.8759,-0.003284,-0.104095
2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,990,21.9931,-0.003434,-0.108059
