segment,candles_all,candles_span,trades,expectancy_R,winrate_WL_%,sum_R,median_R
early_33%,30000,2025-02-09 05:15:00 -> 2025-12-18 17:00:00,381,0.03254593175853018,24.553571428571427,12.399999999999999,0.7
mid_33%,30000,2025-02-09 05:15:00 -> 2025-12-18 17:00:00,380,0.03578947368421054,26.406926406926406,13.600000000000003,0.7
late_33%,30000,2025-02-09 05:15:00 -> 2025-12-18 17:00:00,381,-0.01811023622047241,20.361990950226243,-6.899999999999988,0.7
