timestamp,symbol,model,side,entry,sl,tp,exit_time,exit_price,outcome,R,ctx_sub_label,phase,regime,trend_dir,trend_strength,atr_pct
2026-01-02 16:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,130.84,131.91832142857143,128.68335714285715,2026-01-02 17:00:00+00:00,131.91832142857143,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 17:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.36,132.49346428571428,129.09307142857148,2026-01-02 22:00:00+00:00,132.49346428571428,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 17:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.37,132.49828571428571,129.11342857142859,2026-01-02 22:00:00+00:00,132.49828571428571,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 18:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.71,132.49882142857143,130.13235714285716,2026-01-02 22:00:00+00:00,132.49882142857143,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 18:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,130.73,132.5093214285714,127.17135714285715,2026-01-02 22:00:00+00:00,132.5093214285714,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 19:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.42,132.51542857142857,129.22914285714282,2026-01-02 22:00:00+00:00,132.51542857142857,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 19:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.56,132.51285714285714,129.65428571428572,2026-01-02 22:00:00+00:00,132.51285714285714,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 20:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,131.57,132.5135,129.683,2026-01-02 22:00:00+00:00,132.5135,SL,-1.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 22:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,132.5,133.44125,130.6175,2026-01-03 07:00:00+00:00,130.6175,TP,2.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 22:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,132.58,133.4350357142857,130.86992857142863,2026-01-03 07:00:00+00:00,130.86992857142863,TP,2.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 23:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,132.39,133.42035714285714,130.32928571428567,2026-01-03 07:00:00+00:00,130.32928571428567,TP,2.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-02 23:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,132.24,133.41125,129.89750000000004,2026-01-03 07:00:00+00:00,129.89750000000004,TP,2.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
2026-01-03 00:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,132.76,133.40257142857143,131.4748571428571,2026-01-03 06:30:00+00:00,131.4748571428571,TP,2.0,TDP_TOP,PHASE_TREND_DOWN,TREND_DOWN,DOWN,0.0123054256556967,0.0161126828590564
