day,start_equity,end_equity,trades,day_pnl,day_pnl_pct
2026-01-02,10000.0,10047.742751150246,37,47.74275115024648,0.0047742751150246475
2026-01-03,10097.981464905997,10378.526882548265,11,280.54541764226815,0.027782326459724768
2026-01-04,10352.580565341894,10045.297970341584,28,-307.2825950003098,-0.029681739066008593
2026-01-05,10095.524460193292,10477.274946359435,55,381.7504861661437,0.037813834008464636
2026-01-06,10529.661321091233,11319.26515279298,17,789.6038317017465,0.07498853074411291
2026-01-09,11375.861478556944,11721.431817483985,7,345.5703389270402,0.030377509393765635
2026-01-11,11780.038976571404,11780.038976571404,1,0.0,0.0
2026-01-12,11750.588879129977,12505.903693377968,21,755.3148142479913,0.06427889036178376
2026-01-13,12568.433211844858,12104.596539275042,25,-463.8366725698161,-0.03690489218120544
2026-01-14,12074.335047926854,12163.525600664932,22,89.19055273807862,0.007386787958430267
