RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN,TDP_TOP_trades_total,TDP_TOP_winrate(W/L)%,TDP_TOP_expectancy_R,TDP_TOP_expectancy_R_sqrtN,TDP_BOT_trades_total,TDP_BOT_winrate(W/L)%,TDP_BOT_expectancy_R,TDP_BOT_expectancy_R_sqrtN,LONG_trades_total,LONG_winrate(W/L)%,LONG_expectancy_R,LONG_expectancy_R_sqrtN,SHORT_trades_total,SHORT_winrate(W/L)%,SHORT_expectancy_R,SHORT_expectancy_R_sqrtN
2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,904,33.39130434782609,0.10564159292035398,3.176282752510205,453,34.26573426573427,0.12428256070640177,2.64520474968771,451,32.52595155709342,0.0869179600886918,1.845855908644204,451,32.52595155709342,0.0869179600886918,1.845855908644204,453,34.26573426573427,0.12428256070640177,2.64520474968771
2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,874,33.631484794275494,0.10583524027459955,3.12885917314929,443,34.62897526501767,0.12279909706546277,2.584621999511955,431,32.608695652173914,0.08839907192575408,1.8352124237731258,431,32.608695652173914,0.08839907192575408,1.8352124237731258,443,34.62897526501767,0.12279909706546277,2.584621999511955
2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,821,34.22562141491396,0.11680876979293545,3.346933077183126,417,34.58646616541353,0.12302158273381296,2.5121718082656304,404,33.85214007782101,0.1103960396039604,2.2189329341682758,404,33.85214007782101,0.1103960396039604,2.2189329341682758,417,34.58646616541353,0.12302158273381296,2.5121718082656304
2.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,990,32.65625,0.08515151515151516,2.679229875780115,502,33.54037267080746,0.1043824701195219,2.338726455629847,488,31.761006289308174,0.06536885245901639,1.4440451493781705,488,31.761006289308174,0.06536885245901639,1.4440451493781705,502,33.54037267080746,0.1043824701195219,2.338726455629847
2.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,980,32.75316455696203,0.08806122448979593,2.7567523779747414,499,33.4375,0.1030060120240481,2.3009800125242448,481,32.05128205128205,0.07255717255717255,1.5913030265305605,481,32.05128205128205,0.07255717255717255,1.5913030265305605,499,33.4375,0.1030060120240481,2.3009800125242448
2.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,960,32.47172859450727,0.08395833333333333,2.6013538142026484,494,33.54430379746836,0.10607287449392713,2.3575874582890415,466,31.353135313531354,0.06051502145922747,1.306339774006064,466,31.353135313531354,0.06051502145922747,1.306339774006064,494,33.54430379746836,0.10607287449392713,2.3575874582890415
2.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,32.618683001531394,0.08149253731343284,2.5834548198043157,514,34.234234234234236,0.10875486381322959,2.465643300876981,491,30.9375,0.05295315682281059,1.173363574256963,491,30.9375,0.05295315682281059,1.173363574256963,514,34.234234234234236,0.10875486381322959,2.465643300876981
2.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,998,32.45749613601237,0.08046092184368739,2.5418520853991677,510,34.24242424242424,0.10960784313725493,2.4752936050845666,488,30.5993690851735,0.049999999999999996,1.104536101718726,488,30.5993690851735,0.049999999999999996,1.104536101718726,510,34.24242424242424,0.10960784313725493,2.4752936050845666
2.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,984,32.44094488188976,0.08302845528455284,2.6045008728637367,504,34.355828220858896,0.11150793650793653,2.503346965913042,480,30.42071197411003,0.053125000000000006,1.163910434698478,480,30.42071197411003,0.053125000000000006,1.163910434698478,504,34.355828220858896,0.11150793650793653,2.503346965913042
2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,34.25196850393701,0.1014819587628866,3.9979255252136245,805,35.5899419729207,0.13391304347826086,3.7994507612228006,747,32.86573146292585,0.06653279785809908,1.8184279071625373,747,32.86573146292585,0.06653279785809908,1.8184279071625373,805,35.5899419729207,0.13391304347826086,3.7994507612228006
