timestamp,signal_ts,symbol,model,side,entry,sl,tp,setup_status,setup_close_reason,setup_entry_touch_ts,setup_close_ts,setup_age_hours,setup_age_candles
2026-02-02 14:30:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78468.7,78909.84964285714,77586.40071428572,CLOSED,TP_HIT,2026-02-02 14:45:00+00:00,2026-02-02 15:00:00+00:00,0.5,2.0
2026-02-02 15:00:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78250.9,78926.05071428571,76900.59857142856,CLOSED,SL_HIT,2026-02-02 15:15:00+00:00,2026-02-02 15:15:00+00:00,0.25,1.0
2026-02-02 15:15:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78569.1,79027.02678571428,77653.24642857147,CLOSED,SL_HIT,2026-02-02 15:30:00+00:00,2026-02-02 15:30:00+00:00,0.25,1.0
2026-02-02 15:30:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78969.8,79478.85607142857,77951.68785714287,CLOSED,TP_HIT,2026-02-02 15:45:00+00:00,2026-02-02 20:45:00+00:00,5.25,21.0
2026-02-02 15:45:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78794.9,79478.25928571429,77428.1814285714,CLOSED,TP_HIT,2026-02-02 16:00:00+00:00,2026-02-03 14:45:00+00:00,23.0,92.0
2026-02-02 16:00:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,79020.4,79480.67642857143,78099.84714285712,CLOSED,TP_HIT,2026-02-02 16:15:00+00:00,2026-02-02 20:00:00+00:00,4.0,16.0
2026-02-02 16:15:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,79130.0,79482.5825,78424.83499999999,CLOSED,TP_HIT,2026-02-02 16:30:00+00:00,2026-02-02 18:15:00+00:00,2.0,8.0
2026-02-02 16:30:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,79011.0,79484.38892857142,78064.22214285715,CLOSED,TP_HIT,2026-02-02 16:45:00+00:00,2026-02-02 20:45:00+00:00,4.25,17.0
2026-02-02 16:45:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78588.2,79486.40535714285,76791.78928571429,CLOSED,TP_HIT,2026-02-02 17:00:00+00:00,2026-02-03 16:15:00+00:00,23.5,94.0
2026-02-02 17:00:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78923.9,79488.3725,77794.95499999999,CLOSED,TP_HIT,2026-02-02 17:15:00+00:00,2026-02-03 02:45:00+00:00,9.75,39.0
2026-02-02 17:15:00+00:00,2026-02-06 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,78923.3,79485.05107142858,77799.79785714285,CLOSED,TP_HIT,2026-02-02 17:30:00+00:00,2026-02-03 02:45:00+00:00,9.5,38.0
