timestamp,signal_ts,symbol,model,side,entry,sl,tp,setup_status,setup_close_reason,setup_entry_touch_ts,setup_close_ts,setup_age_hours,setup_age_candles
2026-02-06 15:45:00+00:00,2026-02-07 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,68578.9,69252.3232142857,67232.05357142858,CLOSED,SL_HIT,2026-02-06 16:00:00+00:00,2026-02-06 16:00:00+00:00,0.25,1.0
2026-02-06 16:00:00+00:00,2026-02-07 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,69225.9,69528.94178571428,68619.81642857142,CLOSED,SL_HIT,2026-02-06 16:15:00+00:00,2026-02-06 16:15:00+00:00,0.25,1.0
2026-02-06 16:15:00+00:00,2026-02-07 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,69467.9,69862.83035714287,68678.03928571424,CLOSED,SL_HIT,2026-02-06 16:30:00+00:00,2026-02-06 16:45:00+00:00,0.5,2.0
2026-02-06 14:30:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1984.19,1991.5178214285713,1969.5343571428575,CLOSED,SL_HIT,2026-02-06 14:45:00+00:00,2026-02-06 14:45:00+00:00,0.25,1.0
2026-02-06 14:45:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1977.6,2005.3473571428572,1922.1052857142854,CLOSED,SL_HIT,2026-02-06 15:00:00+00:00,2026-02-06 16:00:00+00:00,1.25,5.0
2026-02-06 15:00:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1962.2,2005.4658571428572,1875.6682857142857,CLOSED,SL_HIT,2026-02-06 15:15:00+00:00,2026-02-06 16:00:00+00:00,1.0,4.0
2026-02-06 15:15:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1971.79,2005.4632857142858,1904.4434285714283,CLOSED,SL_HIT,2026-02-06 15:30:00+00:00,2026-02-06 16:00:00+00:00,0.75,3.0
2026-02-06 15:30:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1986.6,2005.5601428571429,1948.679714285714,CLOSED,SL_HIT,2026-02-06 15:45:00+00:00,2026-02-06 16:00:00+00:00,0.5,2.0
2026-02-06 15:45:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1979.45,2005.689142857143,1926.9717142857141,CLOSED,SL_HIT,2026-02-06 16:00:00+00:00,2026-02-06 16:00:00+00:00,0.25,1.0
2026-02-06 16:00:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,1997.05,2010.1662857142856,1970.8174285714288,CLOSED,SL_HIT,2026-02-06 16:15:00+00:00,2026-02-06 16:15:00+00:00,0.25,1.0
2026-02-06 16:15:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2031.04,2048.5376071428573,1996.0447857142854,CLOSED,SL_HIT,2026-02-06 16:30:00+00:00,2026-02-06 17:00:00+00:00,0.75,3.0
2026-02-06 16:30:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2032.97,2048.4725714285714,2001.9648571428572,CLOSED,SL_HIT,2026-02-06 16:45:00+00:00,2026-02-06 17:00:00+00:00,0.5,2.0
2026-02-06 16:45:00+00:00,2026-02-07 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,2034.87,2050.071785714286,2004.466428571428,CLOSED,SL_HIT,2026-02-06 17:00:00+00:00,2026-02-06 17:00:00+00:00,0.25,1.0
